#pos_m1, pos_m2, pos_m3 [mm]
104.999994, 25.00003, 25.00003
104.999994, 25.000004, 25.000004
104.999994, 30.000278, 25.000004
104.999994, 30.0, 27.300222
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.999994, 30.0, 27.300003
104.499984, 30.0, 27.300003
104.499984, 30.0, 27.249939
103.999974, 30.0, 27.250006
103.999974, 30.0, 27.200043
103.499964, 30.0, 27.200009
103.499964, 30.0, 27.149945
102.999954, 30.0, 27.150013
102.999954, 30.0, 27.10005
102.499944, 30.0, 27.100025
102.499944, 30.0, 27.049969
105.000392, 30.0, 27.050019
105.000293, 30.0, 27.050019
104.999994, 30.0, 27.300146
104.499984, 30.0, 27.30002
104.499984, 30.0, 27.249947
104.999994, 30.0, 27.250006
104.999994, 30.0, 27.250006
104.999994, 30.0, 27.30007
104.499984, 30.0, 27.300011
104.499984, 30.0, 27.249947
104.999994, 30.0, 27.250006
104.999994, 30.0, 27.250006
104.999994, 30.0, 27.30007
104.499984, 30.0, 27.300003
104.499984, 30.0, 27.249947
103.999974, 30.0, 27.250006
103.999974, 30.0, 27.200043
103.499964, 30.0, 27.200009
103.499964, 30.0, 27.149945
102.999954, 30.0, 27.150004
102.999954, 30.0, 27.10005
102.499944, 30.0, 27.100025
102.499944, 30.0, 27.049969
101.999935, 30.0, 27.050019
101.999935, 30.0, 27.000048
101.499925, 30.0, 27.000031
101.499925, 30.0, 26.949984
100.999915, 30.0, 26.950009
100.999915, 30.0, 26.900038
100.499905, 30.0, 26.900038
100.499905, 30.0, 26.849999
99.999928, 30.0, 26.850016
99.999928, 30.0, 26.800036
105.000063, 30.0, 26.800036
105.00003, 30.0, 26.800036
104.999994, 30.0, 27.300079
104.499984, 30.0, 27.300003
104.499984, 30.0, 27.249947
103.999974, 30.0, 27.249981
103.999974, 30.0, 27.200035
103.499964, 30.0, 27.200018
103.499964, 30.0, 27.149954
102.999954, 30.0, 27.149996
102.999954, 30.0, 27.100033
102.499944, 30.0, 27.100025
102.499944, 30.0, 27.049977
101.999935, 30.0, 27.050003
101.999935, 30.0, 27.000031
101.499925, 30.0, 27.000031
101.499925, 30.0, 26.949992
100.999915, 30.0, 26.950009
100.999915, 30.0, 26.900029
100.499905, 30.0, 26.900029
100.499905, 30.0, 26.850007
99.999928, 30.0, 26.850024
99.999928, 30.0, 26.800036
99.499885, 30.0, 26.800036
99.499885, 30.0, 26.750006
98.999872, 30.0, 26.750023
98.999872, 30.0, 26.700051
98.499862, 30.0, 26.700051
98.499862, 30.0, 26.650004
97.999852, 30.0, 26.650029
97.999852, 30.0, 26.600066
97.499842, 30.0, 26.600058
97.499842, 30.0, 26.549994
96.999833, 30.0, 26.550027
96.999833, 30.0, 26.50009
96.499822, 30.0, 26.500065
96.499822, 30.0, 26.450009
95.999813, 30.0, 26.450043
95.999813, 30.0, 26.40008
95.499803, 30.0, 26.400071
95.499803, 30.0, 26.350015
94.999793, 30.0, 26.350041
94.999793, 30.0, 26.300095
89.999922, 30.0, 26.300069
89.999954, 30.0, 26.300069
89.999987, 30.0, 27.800096
89.499977, 30.0, 27.800003
89.499977, 30.0, 27.749922
88.999968, 30.0, 27.74999
88.999968, 30.0, 27.700044
88.499957, 30.0, 27.700018
88.499957, 30.0, 27.649954
87.999948, 30.0, 27.649988
87.999948, 30.0, 27.600042
87.499938, 30.0, 27.600025
87.499938, 30.0, 27.549961
86.999925, 30.0, 27.549995
86.999925, 30.0, 27.500057
86.499915, 30.0, 27.500032
86.499915, 30.0, 27.449984
85.999905, 30.0, 27.45001
85.999905, 30.0, 27.400038
85.499895, 30.0, 27.400038
85.499895, 30.0, 27.349991
84.999885, 30.0, 27.350008
84.999885, 30.0, 27.300053
84.499875, 30.0, 27.300045
84.499875, 30.0, 27.249998
83.999865, 30.0, 27.250023
83.999865, 30.0, 27.20006
83.499855, 30.0, 27.200052
83.499855, 30.0, 27.149996
82.999846, 30.0, 27.150021
82.999846, 30.0, 27.100067
82.499836, 30.0, 27.100058
82.499836, 30.0, 27.050019
81.999823, 30.0, 27.050036
81.999823, 30.0, 27.000065
81.499812, 30.0, 27.000065
81.499812, 30.0, 26.950026
80.999803, 30.0, 26.950043
80.999803, 30.0, 26.900063
80.499793, 30.0, 26.900063
80.499793, 30.0, 26.850041
79.999783, 30.0, 26.850058
79.999783, 30.0, 26.800061
79.499773, 30.0, 26.800061
79.499773, 30.0, 26.750056
78.999763, 30.0, 26.750056
78.999763, 30.0, 26.700068
78.499753, 30.0, 26.700068
78.499753, 30.0, 26.650055
77.999744, 30.0, 26.650063
77.999744, 30.0, 26.600083
77.499733, 30.0, 26.600083
77.499733, 30.0, 26.550053
76.999724, 30.0, 26.550061
76.999724, 30.0, 26.500107
76.499714, 30.0, 26.500098
76.499714, 30.0, 26.450051
75.999701, 30.0, 26.450076
75.999701, 30.0, 26.400113
75.499691, 30.0, 26.400105
75.499691, 30.0, 26.350049
74.999681, 30.0, 26.350075
74.999681, 30.0, 26.300128
74.499671, 30.0, 26.300112
74.499671, 30.0, 26.250039
73.999661, 30.0, 26.250081
73.999661, 30.0, 26.200144
73.499651, 30.0, 26.200118
73.499651, 30.0, 26.150054
72.999641, 30.0, 26.150088
72.999641, 30.0, 26.100142
72.499631, 30.0, 26.100125
72.499631, 30.0, 26.050061
71.999622, 30.0, 26.050095
71.999622, 30.0, 26.000148
71.499612, 30.0, 26.000132
71.499612, 30.0, 25.950093
70.999602, 30.0, 25.950118
70.999602, 30.0, 25.900138
70.499592, 30.0, 25.900138
70.499592, 30.0, 25.850091
69.999579, 30.0, 25.850116
69.999579, 30.0, 25.800145
